state_id,country_id,country_code,state_country_code,state_code,default_name,translations
"1","5","BH","BH","","Um Al Hasam","ar:أم الحصم | en:Um Al Hasam"
"2","5","BH","BH","","Al Badii","ar:البديع | en:Al Badii"
"3","5","BH","BH","","Al Jubailat","ar:الجبيلات | en:Al Jubailat"
"4","5","BH","BH","","Al Jisrah","ar:الجسرة | en:Al Jisrah"
"5","5","BH","BH","","Al Juffair","ar:الجفير | en:Al Juffair"
"6","5","BH","BH","","Al Hidd","ar:الحد | en:Al Hidd"
"7","5","BH","BH","","Al Duraaz","ar:الدراز | en:Al Duraaz"
"8","5","BH","BH","","Al Dur","ar:الدر | en:Al Dur"
"9","5","BH","BH","","Al Riffa East","ar:شرق الرفاع | en:Al Riffa East"
"10","5","BH","BH","","Al Riffa West","ar:غرب الرفاع | en:Al Riffa West"
"11","5","BH","BH","","Al Zallaq","ar:الزلاق | en:Al Zallaq"
"12","5","BH","BH","","Al Zinj","ar:الزنج | en:Al Zinj"
"13","5","BH","BH","","Al Sanabis","ar:السنابس | en:Al Sanabis"
"14","5","BH","BH","","Al Ghuraifa","ar:الغريفة | en:Al Ghuraifa"
"15","5","BH","BH","","Al Malkiya","ar:المالكية | en:Al Malkiya"
"16","5","BH","BH","","Al Muharraq","ar:المحرق | en:Al Muharraq"
"17","5","BH","BH","","Al Manama","ar:المنامة | en:Al Manama"
"18","5","BH","BH","","Al Nuwaidrat","ar:النويدرات | en:Al Nuwaidrat"
"19","5","BH","BH","","Al Hamalah","ar:الهملة | en:Al Hamalah"
"20","5","BH","BH","","Um Al Naasan","ar:أم النعسان | en:Um Al Naasan"
"21","5","BH","BH","","Barbar","ar:بربر | en:Barbar"
"22","5","BH","BH","","Bani Jamrah","ar:بني جمرة | en:Bani Jamrah"
"23","5","BH","BH","","Tubli","ar:تيبلي | en:Tubli"
"24","5","BH","BH","","Jidhafs","ar:جدحفص | en:Jidhafs"
"25","5","BH","BH","","Jidd Hafs","ar:جد حفص | en:Jidd Hafs"
"26","5","BH","BH","","Jazirat Al Muharrq","ar:جزيرة المحرق | en:Jazirat Al Muharrq"
"27","5","BH","BH","","Jazirat Al Nabi Saleh","ar:جزيرة النبي صالح | en:Jazirat Al Nabi Saleh"
"28","5","BH","BH","","Dar Kulaib","ar:دار كليب | en:Dar Kulaib"
"29","5","BH","BH","","Dumistan","ar:دميستان | en:Dumistan"
"30","5","BH","BH","","Ras Al Ruman","ar:راس الرمان | en:Ras Al Ruman"
"31","5","BH","BH","","Sitrah","ar:سترة | en:Sitrah"
"32","5","BH","BH","","Safala","ar:سفالة | en:Safala"
"33","5","BH","BH","","Salmabad","ar:سلماباد | en:Salmabad"
"34","5","BH","BH","","Sanad","ar:سند | en:Sanad"
"35","5","BH","BH","","Sadad","ar:سداد | en:Sadad"
"36","5","BH","BH","","Daih Al Seef","ar:ديح السيف | en:Daih Al Seef"
"37","5","BH","BH","","Adhari","ar:عذاري | en:Adhari"
"38","5","BH","BH","","Askar","ar:عسكر | en:Askar"
"39","5","BH","BH","","Qarya Saar","ar:القرية | en:Qarya Saar"
"40","5","BH","BH","","Qalali","ar:قلالي | en:Qalali"
"41","5","BH","BH","","Qal'at Al Bahrain","ar:قلعة البحرين | en:Qal'at Al Bahrain"
"42","5","BH","BH","","Karzakan","ar:كرزكان | en:Karzakan"
"43","5","BH","BH","","Madinat Hamad","ar:مدينة حمد | en:Madinat Hamad"
"44","5","BH","BH","","Madinat Zayed","ar:مدينة زايد | en:Madinat Zayed"
"45","5","BH","BH","","Madinat Isa","ar:مدينة عيسى | en:Madinat Isa"
"46","5","BH","BH","","Bahrain International Airport","ar:مطار البحرين الدولي | en:Bahrain International Airport"
"47","5","BH","BH","","Salman Port","ar:ميناء سلمان | en:Salman Port"
"48","2","SA","SA","","Asir","ar:عسير | en:Asir"
"49","2","SA","SA","","Al Bahah","ar:الباحة | en:Al Bahah"
"50","2","SA","SA","","Al Hudud ash Shamaliyah","ar:الحدود الشمالية | en:Al Hudud ash Shamaliyah"
"51","2","SA","SA","","Al Jawf","ar:الباحة | en:Al Jawf"
"52","2","SA","SA","","Al Madinah","ar:نجران | en:Al Madinah"
"53","2","SA","SA","","Al Qasim","ar:القصيم | en:Al Qasim"
"54","2","SA","SA","","Ar Riyad","ar:الرياض | en:Ar Riyad"
"55","2","SA","SA","","Ash Sharqiyah (Eastern)","ar:الشرقية | en:Ash Sharqiyah (Eastern)"
"56","2","SA","SA","","Ha'il","ar:حائل | en:Ha'il"
"57","2","SA","SA","","Jizan","ar:جيزان | en:Jizan"
"58","2","SA","SA","","Makkah","ar:مكة المكرمة | en:Makkah"
"59","2","SA","SA","","Najran","ar:نجران | en:Najran"
"60","2","SA","SA","","Tabuk","ar:تبوك | en:Tabuk"
"61","4","AE","AE","","Abū Z̧aby","ar:أبو ظبي | en:Abu Dhabi"
